block_number,tx_hash,safe_tx_hash,safe_data_hash,nonce,threshold,calldata,to,value,signers
12044302,0xce161e0675c7d694e2d5b4498ef3e67ea5f1ffa0a77224ccef7d4826549fbeaf,0x1de5535e36df6e3b4dea147a2d3f951f0ac237ef4f5317c3fe08f78af701ed94,0x1901b3ded2bdbff5db1a87f6d551fa256e9f2bd6517a3bb84f4c2ea863fb3a559622a84230d2b69d46830b33970d54da8d3e2df10792bbffdd2dbd13d6122b0c11d0,0,3,0x,0xBE72691acA605050d1e693a2C2C6A9f3F41dC939,500000000000000000,"[0x2cDD560058D5ac32dc416AAa09Eaf93230c0B7B3, 0xBE72691acA605050d1e693a2C2C6A9f3F41dC939, 0xD367f8322b64F29faF71dDB5c1877dC9ED6EC644]"
12241921,0xd2918f1f4f3206f71f1ecc2b26c622d5ea8837f684b7a731728ece352c39fd19,0x4848de6f45188f3a584b5fb9f3c5f41840735f7c288c9588972049d798de694c,0x1901b3ded2bdbff5db1a87f6d551fa256e9f2bd6517a3bb84f4c2ea863fb3a559622c7ce4a6f4f6e624326d22b74f80ee425055e744ec924337816b206a92f78d124,1,3,0x,0x1Db92e2EeBC8E0c075a02BeA49a2935BcD2dFCF4,0,"[0x2cDD560058D5ac32dc416AAa09Eaf93230c0B7B3, 0xBE72691acA605050d1e693a2C2C6A9f3F41dC939, 0xD367f8322b64F29faF71dDB5c1877dC9ED6EC644]"
12241928,0xb58bf3fc4df64c6970c5ab0e094a2463310b0524636c9c5d7d69999f3befdfd3,0xb2aefad5724f3b2fca3a5e809db8aea567157878812b4c6e06b9afa7e8a5b3ef,0x1901b3ded2bdbff5db1a87f6d551fa256e9f2bd6517a3bb84f4c2ea863fb3a5596228355b02dc21b1f6064c12c42bde2494f960d696331419ff7c71b69976f670ab4,2,3,0x,0x828424517F9F04015db02169f4026D57B2B07229,25000000000000000000000,"[0x2cDD560058D5ac32dc416AAa09Eaf93230c0B7B3, 0xBE72691acA605050d1e693a2C2C6A9f3F41dC939, 0xD367f8322b64F29faF71dDB5c1877dC9ED6EC644]"
12263002,0x0c927362854c77421370f5873946057afde923b2ae39fd954b185fd62e93f2dd,0xf124fc18d532c363c15d20ce2daebf4dc3689953924e9fb93950ed40c9662f4a,0x1901b3ded2bdbff5db1a87f6d551fa256e9f2bd6517a3bb84f4c2ea863fb3a559622463c0cf759a09454da9ffc4f8bafab99de81a4c6223d0bac8b880339447f91fc,3,3,0x,0xd66b48f1E4403fbdd078fec71373AE20580488Cf,4200000000000000000000,"[0xBE72691acA605050d1e693a2C2C6A9f3F41dC939, 0xD367f8322b64F29faF71dDB5c1877dC9ED6EC644, 0xe3dF2cCEAc61B1aFA311372ecC5B40A3A6585a9E]"
12263012,0xd681645e9afdcf95f891a9911e76aefa7d718630c5ab863e61da6103eef419c2,0xc846e875e10ae5d4f031b6a82fd2c25729b0c108c64a98728f856c1c5d0f051c,0x1901b3ded2bdbff5db1a87f6d551fa256e9f2bd6517a3bb84f4c2ea863fb3a5596227d07141e45853e9e5e2c0c861a75ab1ab0b7dd58a5607a5b2055dcf5bce9c036,4,3,0x,0xd66b48f1E4403fbdd078fec71373AE20580488Cf,300000000000000000000,"[0xBE72691acA605050d1e693a2C2C6A9f3F41dC939, 0xD367f8322b64F29faF71dDB5c1877dC9ED6EC644, 0xe3dF2cCEAc61B1aFA311372ecC5B40A3A6585a9E]"
12270291,0x60fa88f512f4cbfc2a585a8ad94ae3c0cd5dbbe3138409330edd845c3fa9ddee,0xfb0e4adb0fb98c4d31e3da1b8ae213c9f4dea92bedb9183d00094aed7d298d70,0x1901b3ded2bdbff5db1a87f6d551fa256e9f2bd6517a3bb84f4c2ea863fb3a55962246574978c35ba1ecf4e222edc7330f048943b465150dbad5f60bcd16106fc926,5,3,0x,0x828424517F9F04015db02169f4026D57B2B07229,20000000000000000000000,"[0x2cDD560058D5ac32dc416AAa09Eaf93230c0B7B3, 0xBE72691acA605050d1e693a2C2C6A9f3F41dC939, 0xe3dF2cCEAc61B1aFA311372ecC5B40A3A6585a9E]"
12308135,0xcb138f8500b06883e7dc475e9a773086aa918d52e39cfc4ffbd1858c0e5ac8c2,0x6e872ed208df6d9e08751e9037766f36f820981a26b99d7081687017a4e4adbd,0x1901b3ded2bdbff5db1a87f6d551fa256e9f2bd6517a3bb84f4c2ea863fb3a55962257da673a4d4d882fe8cdac8da1d3d29a5809d3f33ddc7c52335cec0b6928ff2f,6,3,0x,0x828424517F9F04015db02169f4026D57B2B07229,20000000000000000000000,"[0x2cDD560058D5ac32dc416AAa09Eaf93230c0B7B3, 0xBE72691acA605050d1e693a2C2C6A9f3F41dC939, 0xD367f8322b64F29faF71dDB5c1877dC9ED6EC644]"
12348991,0xea1d6881f37a35b8e74a327e8251deab111102c03a6cf79e7b69ae9939577c99,0x0821fc068eac23fbeeb31b3f08fc413d6a9315f871d73be9afd75b16431b364e,0x1901b3ded2bdbff5db1a87f6d551fa256e9f2bd6517a3bb84f4c2ea863fb3a55962275c2f47d1e437b279a05ac6dad3b19d2a1b5e99e06245f6220f000648465e197,7,3,0x,0x828424517F9F04015db02169f4026D57B2B07229,20000000000000000000000,"[0x2cDD560058D5ac32dc416AAa09Eaf93230c0B7B3, 0xBE72691acA605050d1e693a2C2C6A9f3F41dC939, 0xD367f8322b64F29faF71dDB5c1877dC9ED6EC644]"
12407284,0x6c5a49725a22618a4044885fa1bb340e0e3097a131fc9062fb48c00bfb3fc715,0x64a80f531ea34b095209c07f6a04dff7d61ccd335c4437b4421cb83b3c7db03d,0x1901b3ded2bdbff5db1a87f6d551fa256e9f2bd6517a3bb84f4c2ea863fb3a5596225fc36dc8b0b89539ff8c6ab386a0230f768ce4616dde2bc82ddb5688fb8ac514,8,3,0x,0x828424517F9F04015db02169f4026D57B2B07229,20000000000000000000000,"[0xBE72691acA605050d1e693a2C2C6A9f3F41dC939, 0xD367f8322b64F29faF71dDB5c1877dC9ED6EC644, 0xe3dF2cCEAc61B1aFA311372ecC5B40A3A6585a9E]"
12423250,0x57167c27ce301b90ec655ade47f12aa1f2607eddd443bb524f3a8d45c9618b45,0x18622b261428780d18eb9bd36f8976ecb0a2ea90a289bf49e3b3687d1730eeb7,0x1901b3ded2bdbff5db1a87f6d551fa256e9f2bd6517a3bb84f4c2ea863fb3a559622461ad36e11c4edab60de990859b6d14c99862cfcd4263934741d559d73b82434,9,3,0x,0x828424517F9F04015db02169f4026D57B2B07229,30000000000000000000000,"[0xBE72691acA605050d1e693a2C2C6A9f3F41dC939, 0xD367f8322b64F29faF71dDB5c1877dC9ED6EC644, 0xe3dF2cCEAc61B1aFA311372ecC5B40A3A6585a9E]"
12436335,0x06313511f708641e1be4b76fb1eec5129f5cf581050b25012ae30f1910d42d0b,0xbaf9103754fdf07827f09157188cbec5ed28f21e04b68a2ed36a55a569c0a364,0x1901b3ded2bdbff5db1a87f6d551fa256e9f2bd6517a3bb84f4c2ea863fb3a55962284198c5479c72e149f1b6505ea9d40967ce8669dac08c7ceb711e8a766c09e8c,10,3,0x,0x828424517F9F04015db02169f4026D57B2B07229,20000000000000000000000,"[0x2cDD560058D5ac32dc416AAa09Eaf93230c0B7B3, 0xBE72691acA605050d1e693a2C2C6A9f3F41dC939, 0xD367f8322b64F29faF71dDB5c1877dC9ED6EC644]"
12449771,0xb6376d2e060bad4b0375951629adb41415623db2408b99d45da649e04d1818ce,0x92836198f1879f11146f8d6c52128fced967d65d40046f3babcd5440d306ccbb,0x1901b3ded2bdbff5db1a87f6d551fa256e9f2bd6517a3bb84f4c2ea863fb3a559622c1b79a6d05964b18812727677d6b2b3efcdedb096f4477686d535d6f34acef6b,11,3,0x,0x828424517F9F04015db02169f4026D57B2B07229,30000000000000000000000,"[0x2cDD560058D5ac32dc416AAa09Eaf93230c0B7B3, 0xBE72691acA605050d1e693a2C2C6A9f3F41dC939, 0xe3dF2cCEAc61B1aFA311372ecC5B40A3A6585a9E]"
12466427,0x8ffb170dc59430b6ebdda88f9495655b0c5cef81df216bb6482624ed9591c4f3,0xe443adf0fafeb3a08599ce9b16b9605a9a9b0223196393a5fc6f1702c9425e34,0x1901b3ded2bdbff5db1a87f6d551fa256e9f2bd6517a3bb84f4c2ea863fb3a5596228c85f13acf3475683f43b754a0de7fcd76e0b1d94ec2a8ae4ec9ba90e4332918,12,3,0x,0x828424517F9F04015db02169f4026D57B2B07229,30000000000000000000000,"[0x2cDD560058D5ac32dc416AAa09Eaf93230c0B7B3, 0xBE72691acA605050d1e693a2C2C6A9f3F41dC939, 0xD367f8322b64F29faF71dDB5c1877dC9ED6EC644]"
12471996,0xe2757b3e9c45abdb9bdbb6a0561f1c9b9de9aade4cfc7e9d9a9cb75d7c4c3d4d,0x23af9f5abea220eb93d6c069ce7f68b66682f72fd3c39661adeeab7f2ccbc15e,0x1901b3ded2bdbff5db1a87f6d551fa256e9f2bd6517a3bb84f4c2ea863fb3a5596221c2f154b0f715bbf7b819ccf540a89e769f16fd1a5b9af80edb7f5fc94c5eb62,13,3,0x,0x828424517F9F04015db02169f4026D57B2B07229,30000000000000000000000,"[0xBE72691acA605050d1e693a2C2C6A9f3F41dC939, 0xD367f8322b64F29faF71dDB5c1877dC9ED6EC644, 0xe3dF2cCEAc61B1aFA311372ecC5B40A3A6585a9E]"
12504081,0x6dbc75c5e1ef75e8e75d1164446774f705f378524dd678590dfac3d4b814e694,0x144aad603d2475f3c12b950f2f55e68ba6829b63851be5f14c665c48229bdbbf,0x1901b3ded2bdbff5db1a87f6d551fa256e9f2bd6517a3bb84f4c2ea863fb3a559622808ace44ec5d9cf93fa49dd8076595d50c2a90fd876633ee65a250b71f7f48c6,14,3,0x,0x828424517F9F04015db02169f4026D57B2B07229,40000000000000000000000,"[0x2cDD560058D5ac32dc416AAa09Eaf93230c0B7B3, 0xBE72691acA605050d1e693a2C2C6A9f3F41dC939, 0xe3dF2cCEAc61B1aFA311372ecC5B40A3A6585a9E]"
